Product Submitted Year,Hazard Traits,count
2009,Bioaccumulation,14
2009,Carcinogenicity,22266
2009,Cardiovascular Toxicity,52
2009,Dermatotoxicity,50
2009,Developmental Toxicity,1248
2009,Endocrine Toxicity,18
2009,Environmental Persistence,14
2009,Environmental Toxicity,140
2009,Fragrance Allergen,100
2009,Genotoxicity,24
2009,Hazard Trait Undefined,259
2009,Hematotoxicity,44
2009,Hepatotoxicity and Digestive System Toxicity,140
2009,Immunotoxicity,47
2009,Musculoskeletal Toxicity,1
2009,Nephrotoxicity and Other Toxicity to the Urinary System,37
2009,Neurodevelopmental Toxicity,13
2009,Neurotoxicity,161
2009,Ocular Toxicity,132
2009,Other Toxicological Hazard Traits,28
2009,Reproductive Toxicity,115
2009,Respiratory Toxicity,335
2010,Bioaccumulation,21
2010,Carcinogenicity,10825
2010,Cardiovascular Toxicity,32
2010,Dermatotoxicity,31
2010,Developmental Toxicity,846
2010,Endocrine Toxicity,31
2010,Environmental Persistence,21
2010,Environmental Toxicity,52
2010,Fragrance Allergen,60
2010,Genotoxicity,3
2010,Hazard Trait Undefined,195
2010,Hematotoxicity,33
2010,Hepatotoxicity and Digestive System Toxicity,119
2010,Immunotoxicity,49
2010,Musculoskeletal Toxicity,1
2010,Nephrotoxicity and Other Toxicity to the Urinary System,32
2010,Neurotoxicity,128
2010,Ocular Toxicity,91
2010,Other Toxicological Hazard Traits,8
2010,Reproductive Toxicity,53
2010,Respiratory Toxicity,179
2011,Carcinogenicity,3252
2011,Dermatotoxicity,1
2011,Developmental Toxicity,466
2011,Environmental Toxicity,3
2011,Fragrance Allergen,3
2011,Hazard Trait Undefined,48
2011,Hematotoxicity,2
2011,Hepatotoxicity and Digestive System Toxicity,19
2011,Immunotoxicity,2
2011,Neurotoxicity,20
2011,Ocular Toxicity,20
2011,Other Toxicological Hazard Traits,2
2011,Respiratory Toxicity,45
2012,Carcinogenicity,2741
2012,Cardiovascular Toxicity,8
2012,Developmental Toxicity,97
2012,Endocrine Toxicity,3
2012,Environmental Toxicity,13
2012,Fragrance Allergen,14
2012,Hazard Trait Undefined,185
2012,Hematotoxicity,15
2012,Hepatotoxicity and Digestive System Toxicity,15
2012,Immunotoxicity,3
2012,Nephrotoxicity and Other Toxicity to the Urinary System,7
2012,Neurotoxicity,15
2012,Ocular Toxicity,15
2012,Other Toxicological Hazard Traits,3
2012,Reproductive Toxicity,3
2012,Respiratory Toxicity,70
2013,Bioaccumulation,1
2013,Carcinogenicity,4359
2013,Cardiovascular Toxicity,3
2013,Developmental Toxicity,736
2013,Environmental Persistence,1
2013,Environmental Toxicity,29
2013,Fragrance Allergen,35
2013,Hazard Trait Undefined,215
2013,Hematotoxicity,3
2013,Hepatotoxicity and Digestive System Toxicity,2
2013,Neurotoxicity,2
2013,Ocular Toxicity,2
2013,Reproductive Toxicity,8
2013,Respiratory Toxicity,38
2014,Bioaccumulation,34
2014,Carcinogenicity,6832
2014,Cardiovascular Toxicity,2
2014,Dermatotoxicity,11
2014,Developmental Toxicity,134
2014,Endocrine Toxicity,12
2014,Environmental Persistence,34
2014,Environmental Toxicity,13
2014,Fragrance Allergen,6
2014,Genotoxicity,11
2014,Hazard Trait Undefined,157
2014,Hematotoxicity,11
2014,Hepatotoxicity and Digestive System Toxicity,57
2014,Immunotoxicity,32
2014,Nephrotoxicity and Other Toxicity to the Urinary System,11
2014,Neurodevelopmental Toxicity,1
2014,Neurotoxicity,26
2014,Ocular Toxicity,26
2014,Other Toxicological Hazard Traits,3
2014,Reproductive Toxicity,43
2014,Respiratory Toxicity,125
2015,Bioaccumulation,9
2015,Carcinogenicity,5574
2015,Cardiovascular Toxicity,4
2015,Developmental Toxicity,123
2015,Endocrine Toxicity,2
2015,Environmental Persistence,9
2015,Environmental Toxicity,165
2015,Fragrance Allergen,42
2015,Genotoxicity,1
2015,Hazard Trait Undefined,281
2015,Hematotoxicity,5
2015,Hepatotoxicity and Digestive System Toxicity,10
2015,Immunotoxicity,1
2015,Musculoskeletal Toxicity,1
2015,Neurotoxicity,10
2015,Ocular Toxicity,8
2015,Reproductive Toxicity,4
2015,Respiratory Toxicity,139
2016,Bioaccumulation,3
2016,Carcinogenicity,3495
2016,Dermatotoxicity,1
2016,Developmental Toxicity,39
2016,Endocrine Toxicity,2
2016,Environmental Persistence,3
2016,Environmental Toxicity,2
2016,Fragrance Allergen,41
2016,Genotoxicity,1
2016,Hazard Trait Undefined,73
2016,Hepatotoxicity and Digestive System Toxicity,3
2016,Immunotoxicity,4
2016,Musculoskeletal Toxicity,1
2016,Nephrotoxicity and Other Toxicity to the Urinary System,6
2016,Neurotoxicity,1
2016,Ocular Toxicity,7
2016,Other Toxicological Hazard Traits,2
2016,Reproductive Toxicity,7
2016,Respiratory Toxicity,33
2017,Bioaccumulation,100
2017,Carcinogenicity,4626
2017,Cardiovascular Toxicity,2
2017,Dermatotoxicity,3
2017,Developmental Toxicity,239
2017,Endocrine Toxicity,73
2017,Environmental Persistence,100
2017,Fragrance Allergen,98
2017,Genotoxicity,1
2017,Hazard Trait Undefined,409
2017,Hematotoxicity,4
2017,Hepatotoxicity and Digestive System Toxicity,74
2017,Immunotoxicity,89
2017,Neurotoxicity,6
2017,Ocular Toxicity,4
2017,Other Toxicological Hazard Traits,17
2017,Reproductive Toxicity,125
2017,Respiratory Toxicity,576
2018,Bioaccumulation,46
2018,Carcinogenicity,6820
2018,Cardiovascular Toxicity,7
2018,Dermatotoxicity,2
2018,Developmental Toxicity,70
2018,Endocrine Toxicity,37
2018,Environmental Persistence,46
2018,Environmental Toxicity,3
2018,Fragrance Allergen,115
2018,Genotoxicity,1
2018,Hazard Trait Undefined,489
2018,Hematotoxicity,12
2018,Hepatotoxicity and Digestive System Toxicity,46
2018,Immunotoxicity,43
2018,Musculoskeletal Toxicity,1
2018,Nephrotoxicity and Other Toxicity to the Urinary System,4
2018,Neurotoxicity,10
2018,Ocular Toxicity,8
2018,Other Toxicological Hazard Traits,2
2018,Reproductive Toxicity,46
2018,Respiratory Toxicity,188
2019,Bioaccumulation,54
2019,Carcinogenicity,9286
2019,Cardiovascular Toxicity,4
2019,Dermatotoxicity,6
2019,Developmental Toxicity,111
2019,Endocrine Toxicity,8
2019,Environmental Persistence,54
2019,Environmental Toxicity,40
2019,Fragrance Allergen,195
2019,Genotoxicity,3
2019,Hazard Trait Undefined,295
2019,Hematotoxicity,7
